latitude;longitude;altitude;wenner
6.171419;1.212243;15,87;26
6.171413;1.212514;38,08;15,9
6.171413;1.212514;38,08;15
6.171413;1.212514;38,08;17,7
6.171413;1.212514;38,08;19,4
6.171413;1.212514;38,08;20
6.172191;1.212627;29,02;8,89
6.172191;1.212627;29,02;6,44
6.172191;1.212627;29,02;8,79
6.172191;1.212627;29,02;7,51
6.172191;1.212627;29,02;7,1
6.173008;1.215205;27,82;35,2
6.173008;1.215205;27,82;32,2
6.173008;1.215205;27,82;44,6
6.173008;1.215205;27,82;32
6.173008;1.215205;27,82;35,1
6.172038;1.214976;20,53;21,7
6.172038;1.214976;20,53;8,83
6.172038;1.214976;20,53;13,5
6.172038;1.214976;20,53;5,19
6.172038;1.214976;20,53;10,2
6.171653;1.214892;19;34,1
6.171653;1.214892;19;30,7
6.171653;1.214892;19;39,9
6.171653;1.214892;19;33,8
6.171653;1.214892;19;39,2
6.171673;1.214131;39,39;16,5
6.171673;1.214131;39,39;8
6.171673;1.214131;39,39;15,6
6.171673;1.214131;39,39;19
6.171673;1.214131;39,39;16,5
6.169122;1.218309;24,6;18,5
6.169122;1.218309;24,6;22,6
6.169122;1.218309;24,6;17,8
6.169122;1.218309;24,6;16,6
6.169122;1.218309;24,6;19,1
6.169085;1.218647;36,79;7,4
6.169085;1.218647;36,79;10,7
6.169085;1.218647;36,79;18,2
6.169085;1.218647;36,79;15,2
6.169085;1.218647;36,79;13,4
6.168599;1.218288;37,39;20,3
6.168599;1.218288;37,39;22,6
6.168599;1.218288;37,39;23,1
6.168599;1.218288;37,39;18,7
6.168599;1.218288;37,39;25,8
6.169175;1.217982;37,06;14,9
6.169175;1.217982;37,06;15,4
6.169175;1.217982;37,06;16,8
6.169175;1.217982;37,06;15,5
6.169175;1.217982;37,06;18,5
6.168773;1.218728;22,06;13,3
6.168773;1.218728;22,06;15,3
6.168773;1.218728;22,06;30,6
6.168773;1.218728;22,06;30,2
6.168773;1.218728;22,06;12,2
6.167013;1.21629;37,2;20,1
6.167013;1.21629;37,2;18,6
6.167013;1.21629;37,2;96,8
6.167013;1.21629;37,2;20,5
6.167013;1.21629;37,2;18,8
6.166293;1.21636;19,07;17,8
6.166293;1.21636;19,07;12,9
6.166293;1.21636;19,07;33,6
6.166293;1.21636;19,07;41,7
6.166293;1.21636;19,07;31,6
6.167148;1.215893;24,08;14,7
6.167148;1.215893;24,08;46
6.167148;1.215893;24,08;43,9
6.167148;1.215893;24,08;67,3
6.167148;1.215893;24,08;67,9
6.1664;1.215902;23,68;16,5
6.1664;1.215902;23,68;84,6
6.1664;1.215902;23,68;17
6.1664;1.215902;23,68;45,6
6.1664;1.215902;23,68;53,8
6.175321;1.215753;35,16;18,9
6.175321;1.215753;35,16;29,5
6.175321;1.215753;35,16;26,1
6.175321;1.215753;35,16;21,4
6.175321;1.215753;35,16;14,6
6.17482;1.215492;22,06;24,6
6.17482;1.215492;22,06;26,7
6.17482;1.215492;22,06;25,3
6.17482;1.215492;22,06;14,2
6.17482;1.215492;22,06;29,7
6.17454;1.215719;22,77;20
6.17454;1.215719;22,77;19,3
6.17454;1.215719;22,77;14,9
6.17454;1.215719;22,77;22,3
6.17454;1.215719;22,77;24,5
6.174414;1.215788;21,97;28,8
6.174414;1.215788;21,97;27,5
6.174414;1.215788;21,97;25,2
6.174414;1.215788;21,97;23,8
6.174414;1.215788;21,97;29,4
6.174261;1.215653;22,34;31,3
6.174261;1.215653;22,34;35,5
6.174261;1.215653;22,34;29,8
6.174261;1.215653;22,34;23,3
6.174261;1.215653;22,34;22,9
6.173997;1.216183;21,85;18,9
6.173997;1.216183;21,85;15,3
6.173997;1.216183;21,85;20,5
6.173997;1.216183;21,85;22,5
6.173997;1.216183;21,85;25,8
6.173629;1.216245;17,76;16,9
6.173629;1.216245;17,76;10,1
6.173629;1.216245;17,76;24,5
